$ Deuteron energy spectrum for PHITS source
$ Converted from: spectrum_mean.csv
$ Energy range: 0.4598 - 7.9798 MeV
$ Number of bins: 383
$
$ Format: e-type=22 (user-defined histogram)
$ ne = number of bins
$ followed by: E_low  E_high  relative_intensity
$
    ne = 383
    4.598473e-01  4.609803e-01  2.569396e+00
    4.609803e-01  4.621201e-01  2.636324e+00
    4.621201e-01  4.632600e-01  2.682948e+00
    4.632600e-01  4.643999e-01  2.700892e+00
    4.643999e-01  4.655398e-01  2.708979e+00
    4.655398e-01  4.666796e-01  2.709082e+00
    4.666796e-01  4.678195e-01  2.691968e+00
    4.678195e-01  4.689594e-01  2.654809e+00
    4.689594e-01  4.701037e-01  2.544545e+00
    4.701037e-01  4.712940e-01  2.441858e+00
    4.712940e-01  4.724843e-01  2.415941e+00
    4.724843e-01  4.736747e-01  2.396191e+00
    4.736747e-01  4.748650e-01  2.375157e+00
    4.748650e-01  4.760553e-01  2.355910e+00
    4.760553e-01  4.772457e-01  2.337424e+00
    4.772457e-01  4.784360e-01  2.329128e+00
    4.784360e-01  4.796263e-01  2.292748e+00
    4.796263e-01  4.808520e-01  2.240861e+00
    4.808520e-01  4.820939e-01  2.231962e+00
    4.820939e-01  4.833358e-01  2.239666e+00
    4.833358e-01  4.845777e-01  2.245742e+00
    4.845777e-01  4.858195e-01  2.252746e+00
    4.858195e-01  4.870614e-01  2.251632e+00
    4.870614e-01  4.883033e-01  2.247458e+00
    4.883033e-01  4.895452e-01  2.219834e+00
    4.895452e-01  4.908204e-01  2.172247e+00
    4.908204e-01  4.921149e-01  2.156588e+00
    4.921149e-01  4.934095e-01  2.163449e+00
    4.934095e-01  4.947040e-01  2.163423e+00
    4.947040e-01  4.959985e-01  2.174000e+00
    4.959985e-01  4.972930e-01  2.184835e+00
    4.972930e-01  4.985875e-01  2.182404e+00
    4.985875e-01  4.998820e-01  2.144972e+00
    4.998820e-01  5.012254e-01  2.105514e+00
    5.012254e-01  5.025736e-01  2.102441e+00
    5.025736e-01  5.039218e-01  2.108074e+00
    5.039218e-01  5.052700e-01  2.116586e+00
    5.052700e-01  5.066183e-01  2.118125e+00
    5.066183e-01  5.079665e-01  2.115423e+00
    5.079665e-01  5.093147e-01  2.093034e+00
    5.093147e-01  5.106899e-01  2.050777e+00
    5.106899e-01  5.120930e-01  2.032174e+00
    5.120930e-01  5.134960e-01  2.030707e+00
    5.134960e-01  5.148990e-01  2.029639e+00
    5.148990e-01  5.163021e-01  2.032397e+00
    5.163021e-01  5.177051e-01  2.031620e+00
    5.177051e-01  5.191081e-01  2.027344e+00
    5.191081e-01  5.205315e-01  1.999008e+00
    5.205315e-01  5.219905e-01  1.974387e+00
    5.219905e-01  5.234494e-01  1.973498e+00
    5.234494e-01  5.249083e-01  1.969809e+00
    5.249083e-01  5.263672e-01  1.968139e+00
    5.263672e-01  5.278262e-01  1.974059e+00
    5.278262e-01  5.292851e-01  1.959139e+00
    5.292851e-01  5.307731e-01  1.917624e+00
    5.307731e-01  5.322890e-01  1.891423e+00
    5.322890e-01  5.338049e-01  1.885323e+00
    5.338049e-01  5.353208e-01  1.879379e+00
    5.353208e-01  5.368367e-01  1.870744e+00
    5.368367e-01  5.383526e-01  1.864007e+00
    5.383526e-01  5.398685e-01  1.831282e+00
    5.398685e-01  5.414374e-01  1.797761e+00
    5.414374e-01  5.430114e-01  1.799259e+00
    5.430114e-01  5.445853e-01  1.803103e+00
    5.445853e-01  5.461593e-01  1.805682e+00
    5.461593e-01  5.477333e-01  1.811452e+00
    5.477333e-01  5.493072e-01  1.796099e+00
    5.493072e-01  5.509143e-01  1.765416e+00
    5.509143e-01  5.525474e-01  1.757307e+00
    5.525474e-01  5.541805e-01  1.768088e+00
    5.541805e-01  5.558136e-01  1.778870e+00
    5.558136e-01  5.574468e-01  1.788097e+00
    5.574468e-01  5.590799e-01  1.783119e+00
    5.590799e-01  5.607393e-01  1.758706e+00
    5.607393e-01  5.624326e-01  1.743781e+00
    5.624326e-01  5.641260e-01  1.746194e+00
    5.641260e-01  5.658193e-01  1.756757e+00
    5.658193e-01  5.675127e-01  1.763817e+00
    5.675127e-01  5.692060e-01  1.747376e+00
    5.692060e-01  5.709319e-01  1.720330e+00
    5.709319e-01  5.726866e-01  1.711573e+00
    5.726866e-01  5.744412e-01  1.715851e+00
    5.744412e-01  5.761959e-01  1.716353e+00
    5.761959e-01  5.779506e-01  1.709230e+00
    5.779506e-01  5.797052e-01  1.677638e+00
    5.797052e-01  5.815118e-01  1.649092e+00
    5.815118e-01  5.833289e-01  1.643643e+00
    5.833289e-01  5.851460e-01  1.641253e+00
    5.851460e-01  5.869630e-01  1.637303e+00
    5.869630e-01  5.887801e-01  1.626935e+00
    5.887801e-01  5.906180e-01  1.600395e+00
    5.906180e-01  5.924986e-01  1.583190e+00
    5.924986e-01  5.943792e-01  1.582040e+00
    5.943792e-01  5.962597e-01  1.577795e+00
    5.962597e-01  5.981403e-01  1.578112e+00
    5.981403e-01  6.000216e-01  1.555428e+00
    6.000216e-01  6.019667e-01  1.534328e+00
    6.019667e-01  6.039118e-01  1.536329e+00
    6.039118e-01  6.058570e-01  1.533681e+00
    6.058570e-01  6.078021e-01  1.534615e+00
    6.078021e-01  6.097472e-01  1.519624e+00
    6.097472e-01  6.117495e-01  1.498106e+00
    6.117495e-01  6.137603e-01  1.494549e+00
    6.137603e-01  6.157711e-01  1.490849e+00
    6.157711e-01  6.177819e-01  1.486081e+00
    6.177819e-01  6.197927e-01  1.468724e+00
    6.197927e-01  6.218634e-01  1.451162e+00
    6.218634e-01  6.239409e-01  1.449808e+00
    6.239409e-01  6.260185e-01  1.449557e+00
    6.260185e-01  6.280960e-01  1.447996e+00
    6.280960e-01  6.301792e-01  1.422149e+00
    6.301792e-01  6.323246e-01  1.395082e+00
    6.323246e-01  6.344700e-01  1.394515e+00
    6.344700e-01  6.366154e-01  1.398045e+00
    6.366154e-01  6.387608e-01  1.390400e+00
    6.387608e-01  6.409353e-01  1.361346e+00
    6.409353e-01  6.431496e-01  1.338610e+00
    6.431496e-01  6.453639e-01  1.336628e+00
    6.453639e-01  6.475782e-01  1.337832e+00
    6.475782e-01  6.497925e-01  1.319493e+00
    6.497925e-01  6.520702e-01  1.295835e+00
    6.520702e-01  6.543545e-01  1.288231e+00
    6.543545e-01  6.566388e-01  1.286146e+00
    6.566388e-01  6.589232e-01  1.275639e+00
    6.589232e-01  6.612450e-01  1.258320e+00
    6.612450e-01  6.636004e-01  1.250013e+00
    6.636004e-01  6.659558e-01  1.249835e+00
    6.659558e-01  6.683112e-01  1.250033e+00
    6.683112e-01  6.706871e-01  1.233897e+00
    6.706871e-01  6.731147e-01  1.217743e+00
    6.731147e-01  6.755422e-01  1.216670e+00
    6.755422e-01  6.779698e-01  1.216312e+00
    6.779698e-01  6.804094e-01  1.197533e+00
    6.804094e-01  6.829102e-01  1.177641e+00
    6.829102e-01  6.854111e-01  1.180752e+00
    6.854111e-01  6.879119e-01  1.190767e+00
    6.879119e-01  6.904250e-01  1.185047e+00
    6.904250e-01  6.930002e-01  1.177480e+00
    6.930002e-01  6.955754e-01  1.191764e+00
    6.955754e-01  6.981506e-01  1.208084e+00
    6.981506e-01  7.007470e-01  1.212275e+00
    7.007470e-01  7.033977e-01  1.216779e+00
    7.033977e-01  7.060483e-01  1.224715e+00
    7.060483e-01  7.086989e-01  1.212876e+00
    7.086989e-01  7.113885e-01  1.175828e+00
    7.113885e-01  7.141157e-01  1.135882e+00
    7.141157e-01  7.168428e-01  1.116772e+00
    7.168428e-01  7.195700e-01  1.102497e+00
    7.195700e-01  7.223625e-01  1.088277e+00
    7.223625e-01  7.251672e-01  1.083205e+00
    7.251672e-01  7.279720e-01  1.077933e+00
    7.279720e-01  7.307985e-01  1.065487e+00
    7.307985e-01  7.336820e-01  1.052896e+00
    7.336820e-01  7.365654e-01  1.053460e+00
    7.365654e-01  7.394489e-01  1.045926e+00
    7.394489e-01  7.423968e-01  1.030138e+00
    7.423968e-01  7.453601e-01  1.021802e+00
    7.453601e-01  7.483233e-01  1.013349e+00
    7.483233e-01  7.513216e-01  1.002617e+00
    7.513216e-01  7.543657e-01  9.964785e-01
    7.543657e-01  7.574098e-01  9.950506e-01
    7.574098e-01  7.604661e-01  9.841040e-01
    7.604661e-01  7.635922e-01  9.768441e-01
    7.635922e-01  7.667182e-01  9.760930e-01
    7.667182e-01  7.698442e-01  9.567775e-01
    7.698442e-01  7.730492e-01  9.425045e-01
    7.730492e-01  7.762583e-01  9.426818e-01
    7.762583e-01  7.794673e-01  9.320184e-01
    7.794673e-01  7.827466e-01  9.189858e-01
    7.827466e-01  7.860398e-01  9.183573e-01
    7.860398e-01  7.893330e-01  9.085798e-01
    7.893330e-01  7.926941e-01  8.905205e-01
    7.926941e-01  7.960725e-01  8.860934e-01
    7.960725e-01  7.994509e-01  8.751618e-01
    7.994509e-01  8.029016e-01  8.606244e-01
    8.029016e-01  8.063663e-01  8.559575e-01
