$ Deuteron energy spectrum for PHITS source
$ Converted from: spectrum_lower.csv
$ Energy range: 0.4598 - 7.9798 MeV
$ Number of bins: 383
$
$ Format: e-type=22 (user-defined histogram)
$ ne = number of bins
$ followed by: E_low  E_high  relative_intensity
$
    ne = 383
    4.598473e-01  4.609803e-01  3.454098e+00
    4.609803e-01  4.621201e-01  3.554880e+00
    4.621201e-01  4.632600e-01  3.621674e+00
    4.632600e-01  4.643999e-01  3.635348e+00
    4.643999e-01  4.655398e-01  3.645675e+00
    4.655398e-01  4.666796e-01  3.649375e+00
    4.666796e-01  4.678195e-01  3.618803e+00
    4.678195e-01  4.689594e-01  3.568396e+00
    4.689594e-01  4.701037e-01  3.409919e+00
    4.701037e-01  4.712940e-01  3.248350e+00
    4.712940e-01  4.724843e-01  3.207480e+00
    4.724843e-01  4.736747e-01  3.193790e+00
    4.736747e-01  4.748650e-01  3.180462e+00
    4.748650e-01  4.760553e-01  3.148046e+00
    4.760553e-01  4.772457e-01  3.096507e+00
    4.772457e-01  4.784360e-01  3.067588e+00
    4.784360e-01  4.796263e-01  3.023499e+00
    4.796263e-01  4.808520e-01  2.965263e+00
    4.808520e-01  4.820939e-01  2.956346e+00
    4.820939e-01  4.833358e-01  2.967076e+00
    4.833358e-01  4.845777e-01  2.970883e+00
    4.845777e-01  4.858195e-01  2.971767e+00
    4.858195e-01  4.870614e-01  2.961668e+00
    4.870614e-01  4.883033e-01  2.945315e+00
    4.883033e-01  4.895452e-01  2.899048e+00
    4.895452e-01  4.908204e-01  2.819907e+00
    4.908204e-01  4.921149e-01  2.776685e+00
    4.921149e-01  4.934095e-01  2.772362e+00
    4.934095e-01  4.947040e-01  2.757796e+00
    4.947040e-01  4.959985e-01  2.763662e+00
    4.959985e-01  4.972930e-01  2.783047e+00
    4.972930e-01  4.985875e-01  2.785353e+00
    4.985875e-01  4.998820e-01  2.741068e+00
    4.998820e-01  5.012254e-01  2.688226e+00
    5.012254e-01  5.025736e-01  2.671657e+00
    5.025736e-01  5.039218e-01  2.667649e+00
    5.039218e-01  5.052700e-01  2.675385e+00
    5.052700e-01  5.066183e-01  2.673171e+00
    5.066183e-01  5.079665e-01  2.667488e+00
    5.079665e-01  5.093147e-01  2.637906e+00
    5.093147e-01  5.106899e-01  2.582114e+00
    5.106899e-01  5.120930e-01  2.558129e+00
    5.120930e-01  5.134960e-01  2.553613e+00
    5.134960e-01  5.148990e-01  2.538807e+00
    5.148990e-01  5.163021e-01  2.527306e+00
    5.163021e-01  5.177051e-01  2.528545e+00
    5.177051e-01  5.191081e-01  2.530601e+00
    5.191081e-01  5.205315e-01  2.491327e+00
    5.205315e-01  5.219905e-01  2.446859e+00
    5.219905e-01  5.234494e-01  2.430327e+00
    5.234494e-01  5.249083e-01  2.414366e+00
    5.249083e-01  5.263672e-01  2.402438e+00
    5.263672e-01  5.278262e-01  2.405326e+00
    5.278262e-01  5.292851e-01  2.387382e+00
    5.292851e-01  5.307731e-01  2.340713e+00
    5.307731e-01  5.322890e-01  2.317142e+00
    5.322890e-01  5.338049e-01  2.315552e+00
    5.338049e-01  5.353208e-01  2.298504e+00
    5.353208e-01  5.368367e-01  2.277232e+00
    5.368367e-01  5.383526e-01  2.271672e+00
    5.383526e-01  5.398685e-01  2.228163e+00
    5.398685e-01  5.414374e-01  2.168228e+00
    5.414374e-01  5.430114e-01  2.154411e+00
    5.430114e-01  5.445853e-01  2.153637e+00
    5.445853e-01  5.461593e-01  2.155603e+00
    5.461593e-01  5.477333e-01  2.162547e+00
    5.477333e-01  5.493072e-01  2.138385e+00
    5.493072e-01  5.509143e-01  2.098175e+00
    5.509143e-01  5.525474e-01  2.091496e+00
    5.525474e-01  5.541805e-01  2.105655e+00
    5.541805e-01  5.558136e-01  2.113792e+00
    5.558136e-01  5.574468e-01  2.126363e+00
    5.574468e-01  5.590799e-01  2.131205e+00
    5.590799e-01  5.607393e-01  2.106453e+00
    5.607393e-01  5.624326e-01  2.086815e+00
    5.624326e-01  5.641260e-01  2.088336e+00
    5.641260e-01  5.658193e-01  2.100358e+00
    5.658193e-01  5.675127e-01  2.105610e+00
    5.675127e-01  5.692060e-01  2.078762e+00
    5.692060e-01  5.709319e-01  2.036469e+00
    5.709319e-01  5.726866e-01  2.023260e+00
    5.726866e-01  5.744412e-01  2.033094e+00
    5.744412e-01  5.761959e-01  2.028014e+00
    5.761959e-01  5.779506e-01  2.002953e+00
    5.779506e-01  5.797052e-01  1.952514e+00
    5.797052e-01  5.815118e-01  1.911618e+00
    5.815118e-01  5.833289e-01  1.904166e+00
    5.833289e-01  5.851460e-01  1.908461e+00
    5.851460e-01  5.869630e-01  1.915841e+00
    5.869630e-01  5.887801e-01  1.912705e+00
    5.887801e-01  5.906180e-01  1.879513e+00
    5.906180e-01  5.924986e-01  1.859478e+00
    5.924986e-01  5.943792e-01  1.855932e+00
    5.943792e-01  5.962597e-01  1.842575e+00
    5.962597e-01  5.981403e-01  1.838053e+00
    5.981403e-01  6.000216e-01  1.811665e+00
    6.000216e-01  6.019667e-01  1.790476e+00
    6.019667e-01  6.039118e-01  1.795671e+00
    6.039118e-01  6.058570e-01  1.793929e+00
    6.058570e-01  6.078021e-01  1.793436e+00
    6.078021e-01  6.097472e-01  1.772570e+00
    6.097472e-01  6.117495e-01  1.740222e+00
    6.117495e-01  6.137603e-01  1.724081e+00
    6.137603e-01  6.157711e-01  1.708202e+00
    6.157711e-01  6.177819e-01  1.697170e+00
    6.177819e-01  6.197927e-01  1.671281e+00
    6.197927e-01  6.218634e-01  1.644660e+00
    6.218634e-01  6.239409e-01  1.643260e+00
    6.239409e-01  6.260185e-01  1.652376e+00
    6.260185e-01  6.280960e-01  1.653278e+00
    6.280960e-01  6.301792e-01  1.607018e+00
    6.301792e-01  6.323246e-01  1.560274e+00
    6.323246e-01  6.344700e-01  1.553149e+00
    6.344700e-01  6.366154e-01  1.556309e+00
    6.366154e-01  6.387608e-01  1.552397e+00
    6.387608e-01  6.409353e-01  1.520897e+00
    6.409353e-01  6.431496e-01  1.490680e+00
    6.431496e-01  6.453639e-01  1.489721e+00
    6.453639e-01  6.475782e-01  1.499516e+00
    6.475782e-01  6.497925e-01  1.478913e+00
    6.497925e-01  6.520702e-01  1.442701e+00
    6.520702e-01  6.543545e-01  1.428122e+00
    6.543545e-01  6.566388e-01  1.419819e+00
    6.566388e-01  6.589232e-01  1.398057e+00
    6.589232e-01  6.612450e-01  1.369829e+00
    6.612450e-01  6.636004e-01  1.357330e+00
    6.636004e-01  6.659558e-01  1.360388e+00
    6.659558e-01  6.683112e-01  1.368757e+00
    6.683112e-01  6.706871e-01  1.355476e+00
    6.706871e-01  6.731147e-01  1.332353e+00
    6.731147e-01  6.755422e-01  1.326163e+00
    6.755422e-01  6.779698e-01  1.327929e+00
    6.779698e-01  6.804094e-01  1.309252e+00
    6.804094e-01  6.829102e-01  1.282661e+00
    6.829102e-01  6.854111e-01  1.279934e+00
    6.854111e-01  6.879119e-01  1.286122e+00
    6.879119e-01  6.904250e-01  1.272696e+00
    6.904250e-01  6.930002e-01  1.254478e+00
    6.930002e-01  6.955754e-01  1.260161e+00
    6.955754e-01  6.981506e-01  1.263551e+00
    6.981506e-01  7.007470e-01  1.256370e+00
    7.007470e-01  7.033977e-01  1.257231e+00
    7.033977e-01  7.060483e-01  1.259328e+00
    7.060483e-01  7.086989e-01  1.238466e+00
    7.086989e-01  7.113885e-01  1.198189e+00
    7.113885e-01  7.141157e-01  1.155936e+00
    7.141157e-01  7.168428e-01  1.131906e+00
    7.168428e-01  7.195700e-01  1.114990e+00
    7.195700e-01  7.223625e-01  1.096647e+00
    7.223625e-01  7.251672e-01  1.086859e+00
    7.251672e-01  7.279720e-01  1.079204e+00
    7.279720e-01  7.307985e-01  1.063861e+00
    7.307985e-01  7.336820e-01  1.042607e+00
    7.336820e-01  7.365654e-01  1.033965e+00
    7.365654e-01  7.394489e-01  1.022181e+00
    7.394489e-01  7.423968e-01  1.006616e+00
    7.423968e-01  7.453601e-01  9.996890e-01
    7.453601e-01  7.483233e-01  9.885755e-01
    7.483233e-01  7.513216e-01  9.741046e-01
    7.513216e-01  7.543657e-01  9.663673e-01
    7.543657e-01  7.574098e-01  9.650214e-01
    7.574098e-01  7.604661e-01  9.538833e-01
    7.604661e-01  7.635922e-01  9.370231e-01
    7.635922e-01  7.667182e-01  9.196560e-01
    7.667182e-01  7.698442e-01  8.906212e-01
    7.698442e-01  7.730492e-01  8.713909e-01
    7.730492e-01  7.762583e-01  8.708898e-01
    7.762583e-01  7.794673e-01  8.639885e-01
    7.794673e-01  7.827466e-01  8.506617e-01
    7.827466e-01  7.860398e-01  8.459690e-01
    7.860398e-01  7.893330e-01  8.347792e-01
    7.893330e-01  7.926941e-01  8.216297e-01
    7.926941e-01  7.960725e-01  8.237081e-01
    7.960725e-01  7.994509e-01  8.171969e-01
    7.994509e-01  8.029016e-01  8.019579e-01
    8.029016e-01  8.063663e-01  7.953637e-01
