$ Deuteron energy spectrum for PHITS source
$ Converted from: spectrum_upper.csv
$ Energy range: 0.4598 - 7.9798 MeV
$ Number of bins: 383
$
$ Format: e-type=22 (user-defined histogram)
$ ne = number of bins
$ followed by: E_low  E_high  relative_intensity
$
    ne = 383
    4.598473e-01  4.609803e-01  2.225555e+00
    4.609803e-01  4.621201e-01  2.279335e+00
    4.621201e-01  4.632600e-01  2.318125e+00
    4.632600e-01  4.643999e-01  2.337718e+00
    4.643999e-01  4.655398e-01  2.344934e+00
    4.655398e-01  4.666796e-01  2.343642e+00
    4.666796e-01  4.678195e-01  2.331751e+00
    4.678195e-01  4.689594e-01  2.299741e+00
    4.689594e-01  4.701037e-01  2.208206e+00
    4.701037e-01  4.712940e-01  2.128380e+00
    4.712940e-01  4.724843e-01  2.108269e+00
    4.724843e-01  4.736747e-01  2.086177e+00
    4.736747e-01  4.748650e-01  2.062161e+00
    4.748650e-01  4.760553e-01  2.048027e+00
    4.760553e-01  4.772457e-01  2.042362e+00
    4.772457e-01  4.784360e-01  2.042064e+00
    4.784360e-01  4.796263e-01  2.008684e+00
    4.796263e-01  4.808520e-01  1.959275e+00
    4.808520e-01  4.820939e-01  1.950387e+00
    4.820939e-01  4.833358e-01  1.956915e+00
    4.833358e-01  4.845777e-01  1.963868e+00
    4.845777e-01  4.858195e-01  1.973242e+00
    4.858195e-01  4.870614e-01  1.975613e+00
    4.870614e-01  4.883033e-01  1.976162e+00
    4.883033e-01  4.895452e-01  1.955775e+00
    4.895452e-01  4.908204e-01  1.920437e+00
    4.908204e-01  4.921149e-01  1.915469e+00
    4.921149e-01  4.934095e-01  1.926664e+00
    4.934095e-01  4.947040e-01  1.932275e+00
    4.947040e-01  4.959985e-01  1.944675e+00
    4.959985e-01  4.972930e-01  1.952192e+00
    4.972930e-01  4.985875e-01  1.947925e+00
    4.985875e-01  4.998820e-01  1.913162e+00
    4.998820e-01  5.012254e-01  1.878906e+00
    5.012254e-01  5.025736e-01  1.881066e+00
    5.025736e-01  5.039218e-01  1.890435e+00
    5.039218e-01  5.052700e-01  1.899245e+00
    5.052700e-01  5.066183e-01  1.902239e+00
    5.066183e-01  5.079665e-01  1.900693e+00
    5.079665e-01  5.093147e-01  1.881101e+00
    5.093147e-01  5.106899e-01  1.844104e+00
    5.106899e-01  5.120930e-01  1.827594e+00
    5.120930e-01  5.134960e-01  1.827310e+00
    5.134960e-01  5.148990e-01  1.831569e+00
    5.148990e-01  5.163021e-01  1.839854e+00
    5.163021e-01  5.177051e-01  1.838295e+00
    5.177051e-01  5.191081e-01  1.831567e+00
    5.191081e-01  5.205315e-01  1.807480e+00
    5.205315e-01  5.219905e-01  1.790561e+00
    5.219905e-01  5.234494e-01  1.795738e+00
    5.234494e-01  5.249083e-01  1.796807e+00
    5.249083e-01  5.263672e-01  1.799116e+00
    5.263672e-01  5.278262e-01  1.806208e+00
    5.278262e-01  5.292851e-01  1.792467e+00
    5.292851e-01  5.307731e-01  1.752963e+00
    5.307731e-01  5.322890e-01  1.725751e+00
    5.322890e-01  5.338049e-01  1.717904e+00
    5.338049e-01  5.353208e-01  1.716268e+00
    5.353208e-01  5.368367e-01  1.712534e+00
    5.368367e-01  5.383526e-01  1.705344e+00
    5.383526e-01  5.398685e-01  1.676810e+00
    5.398685e-01  5.414374e-01  1.653541e+00
    5.414374e-01  5.430114e-01  1.660976e+00
    5.430114e-01  5.445853e-01  1.666609e+00
    5.445853e-01  5.461593e-01  1.669424e+00
    5.461593e-01  5.477333e-01  1.674738e+00
    5.477333e-01  5.493072e-01  1.662805e+00
    5.493072e-01  5.509143e-01  1.635826e+00
    5.509143e-01  5.525474e-01  1.627165e+00
    5.525474e-01  5.541805e-01  1.636633e+00
    5.541805e-01  5.558136e-01  1.648436e+00
    5.558136e-01  5.574468e-01  1.656365e+00
    5.574468e-01  5.590799e-01  1.647581e+00
    5.590799e-01  5.607393e-01  1.623307e+00
    5.607393e-01  5.624326e-01  1.610215e+00
    5.624326e-01  5.641260e-01  1.612972e+00
    5.641260e-01  5.658193e-01  1.622967e+00
    5.658193e-01  5.675127e-01  1.630724e+00
    5.675127e-01  5.692060e-01  1.618324e+00
    5.692060e-01  5.709319e-01  1.597198e+00
    5.709319e-01  5.726866e-01  1.590169e+00
    5.726866e-01  5.744412e-01  1.592293e+00
    5.744412e-01  5.761959e-01  1.594959e+00
    5.761959e-01  5.779506e-01  1.594792e+00
    5.779506e-01  5.797052e-01  1.570518e+00
    5.797052e-01  5.815118e-01  1.546770e+00
    5.815118e-01  5.833289e-01  1.542099e+00
    5.833289e-01  5.851460e-01  1.537118e+00
    5.851460e-01  5.869630e-01  1.528776e+00
    5.869630e-01  5.887801e-01  1.515608e+00
    5.887801e-01  5.906180e-01  1.491656e+00
    5.906180e-01  5.924986e-01  1.475553e+00
    5.924986e-01  5.943792e-01  1.475332e+00
    5.943792e-01  5.962597e-01  1.474621e+00
    5.962597e-01  5.981403e-01  1.476814e+00
    5.981403e-01  6.000216e-01  1.455574e+00
    6.000216e-01  6.019667e-01  1.434515e+00
    6.019667e-01  6.039118e-01  1.435277e+00
    6.039118e-01  6.058570e-01  1.432279e+00
    6.058570e-01  6.078021e-01  1.433766e+00
    6.078021e-01  6.097472e-01  1.421057e+00
    6.097472e-01  6.117495e-01  1.403746e+00
    6.117495e-01  6.137603e-01  1.405068e+00
    6.137603e-01  6.157711e-01  1.406092e+00
    6.157711e-01  6.177819e-01  1.403754e+00
    6.177819e-01  6.197927e-01  1.389711e+00
    6.197927e-01  6.218634e-01  1.375666e+00
    6.218634e-01  6.239409e-01  1.374330e+00
    6.239409e-01  6.260185e-01  1.370447e+00
    6.260185e-01  6.280960e-01  1.367933e+00
    6.280960e-01  6.301792e-01  1.350008e+00
    6.301792e-01  6.323246e-01  1.330579e+00
    6.323246e-01  6.344700e-01  1.332554e+00
    6.344700e-01  6.366154e-01  1.336227e+00
    6.366154e-01  6.387608e-01  1.327137e+00
    6.387608e-01  6.409353e-01  1.299041e+00
    6.409353e-01  6.431496e-01  1.279213e+00
    6.431496e-01  6.453639e-01  1.276834e+00
    6.453639e-01  6.475782e-01  1.274708e+00
    6.475782e-01  6.497925e-01  1.257253e+00
    6.497925e-01  6.520702e-01  1.238470e+00
    6.520702e-01  6.543545e-01  1.233573e+00
    6.543545e-01  6.566388e-01  1.233898e+00
    6.566388e-01  6.589232e-01  1.227758e+00
    6.589232e-01  6.612450e-01  1.214674e+00
    6.612450e-01  6.636004e-01  1.207995e+00
    6.636004e-01  6.659558e-01  1.206563e+00
    6.659558e-01  6.683112e-01  1.203593e+00
    6.683112e-01  6.706871e-01  1.186356e+00
    6.706871e-01  6.731147e-01  1.172908e+00
    6.731147e-01  6.755422e-01  1.173820e+00
    6.755422e-01  6.779698e-01  1.172638e+00
    6.779698e-01  6.804094e-01  1.153826e+00
    6.804094e-01  6.829102e-01  1.136538e+00
    6.829102e-01  6.854111e-01  1.141911e+00
    6.854111e-01  6.879119e-01  1.153407e+00
    6.879119e-01  6.904250e-01  1.150676e+00
    6.904250e-01  6.930002e-01  1.147241e+00
    6.930002e-01  6.955754e-01  1.164855e+00
    6.955754e-01  6.981506e-01  1.186182e+00
    6.981506e-01  7.007470e-01  1.194781e+00
    7.007470e-01  7.033977e-01  1.200696e+00
    7.033977e-01  7.060483e-01  1.210892e+00
    7.060483e-01  7.086989e-01  1.202557e+00
    7.086989e-01  7.113885e-01  1.166772e+00
    7.113885e-01  7.141157e-01  1.127733e+00
    7.141157e-01  7.168428e-01  1.110537e+00
    7.168428e-01  7.195700e-01  1.097290e+00
    7.195700e-01  7.223625e-01  1.084675e+00
    7.223625e-01  7.251672e-01  1.081432e+00
    7.251672e-01  7.279720e-01  1.077086e+00
    7.279720e-01  7.307985e-01  1.065766e+00
    7.307985e-01  7.336820e-01  1.056539e+00
    7.336820e-01  7.365654e-01  1.060672e+00
    7.365654e-01  7.394489e-01  1.054788e+00
    7.394489e-01  7.423968e-01  1.038918e+00
    7.423968e-01  7.453601e-01  1.030039e+00
    7.453601e-01  7.483233e-01  1.022620e+00
    7.483233e-01  7.513216e-01  1.013341e+00
    7.513216e-01  7.543657e-01  1.007825e+00
    7.543657e-01  7.574098e-01  1.006366e+00
    7.574098e-01  7.604661e-01  9.954969e-01
    7.604661e-01  7.635922e-01  9.919614e-01
    7.635922e-01  7.667182e-01  9.976525e-01
    7.667182e-01  7.698442e-01  9.821115e-01
    7.698442e-01  7.730492e-01  9.697652e-01
    7.730492e-01  7.762583e-01  9.702053e-01
    7.762583e-01  7.794673e-01  9.580870e-01
    7.794673e-01  7.827466e-01  9.451727e-01
    7.827466e-01  7.860398e-01  9.461200e-01
    7.860398e-01  7.893330e-01  9.368933e-01
    7.893330e-01  7.926941e-01  9.169365e-01
    7.926941e-01  7.960725e-01  9.099887e-01
    7.960725e-01  7.994509e-01  8.973468e-01
    7.994509e-01  8.029016e-01  8.830863e-01
    8.029016e-01  8.063663e-01  8.791681e-01
